CST 2026-07-17 20:03:48.932     0     0 I I00000/HiLog: ========Zeroth log of type: init
CST 2026-07-17 20:03:52.221   412   412 I I02c01/CustCarrierMount: UpdateCotaOpkeyLink start
CST 2026-07-17 20:03:52.221   412   412 W I02c01/CustCarrierMount: not exsit CUST_GLOBAL_CARRIER_DIR or COTA_PARAM_CARRIER_DIR
CST 2026-07-17 20:03:53.324   412   412 I I02c01/CustCarrierMount: success to update cota carrier
CST 2026-07-17 20:06:29.595   727   727 E C01406/RSScreenManager: IsAllScreensPowerOff: screenPowerStatus_ is empty.
CST 2026-07-17 20:06:29.636  1694  1805 I C0430a/file_monitor_service: [MainMissionStatus:197]CanExit
CST 2026-07-17 20:06:29.636  1694  1805 I C0430a/file_monitor_service: [MainMissionStatus:203]SecondaryScanner idle
CST 2026-07-17 20:06:29.686  5196  5196 W C02c02/PARAM: Selinux check name persist.init.debug.loglevel in u:object_r:startup_init_param:s0 [5196 2000 2000] failed
CST 2026-07-17 20:06:29.686  5196  5196 W C02c02/PARAM: Selinux check name persist.init.debug.loglevel in u:object_r:startup_init_param:s0 [5196 2000 2000] failed
CST 2026-07-17 20:06:29.686  5196  5196 W C02c02/PARAM: SystemReadParam failed!name is:persist.init.debug.loglevel,err:1002
CST 2026-07-17 20:06:29.687  5199  5199 W C02c02/PARAM: Selinux check name persist.init.debug.loglevel in u:object_r:startup_init_param:s0 [5199 2000 2000] failed
CST 2026-07-17 20:06:29.687  5199  5199 W C02c02/PARAM: Selinux check name persist.init.debug.loglevel in u:object_r:startup_init_param:s0 [5199 2000 2000] failed
CST 2026-07-17 20:06:29.687  5199  5199 W C02c02/PARAM: SystemReadParam failed!name is:persist.init.debug.loglevel,err:1002
CST 2026-07-17 20:06:29.697  5201  5201 W C02c02/PARAM: Selinux check name persist.init.debug.loglevel in u:object_r:startup_init_param:s0 [5201 2000 2000] failed
CST 2026-07-17 20:06:29.697  5201  5201 W C02c02/PARAM: Selinux check name persist.init.debug.loglevel in u:object_r:startup_init_param:s0 [5201 2000 2000] failed
CST 2026-07-17 20:06:29.697  5201  5201 W C02c02/PARAM: SystemReadParam failed!name is:persist.init.debug.loglevel,err:1002
CST 2026-07-17 20:06:29.707  5202  5202 W C02c02/PARAM: Selinux check name persist.init.debug.loglevel in u:object_r:startup_init_param:s0 [5202 2000 2000] failed
CST 2026-07-17 20:06:29.707  5202  5202 W C02c02/PARAM: Selinux check name persist.init.debug.loglevel in u:object_r:startup_init_param:s0 [5202 2000 2000] failed
CST 2026-07-17 20:06:29.707  5202  5202 W C02c02/PARAM: SystemReadParam failed!name is:persist.init.debug.loglevel,err:1002
